code_activity,name_activity,ar_name_activity
63312.0,Frigoriste,اختصاصي تبريد
63311.0,Dépanneur en installations de froid et climatisation,مصلح في تركيب التبريد والتكييف
63310.0,Conducteur d'installations frigorifiques,قائد تركيبات التبريد
63309.0,Chef d'équipe de maintenance en froid et climatisation,رئيس فريق الصيانة في التبريد والتكييف
63308.0,Agent technicien en froid et climatisation,عون تقني في التبريد والتكييف
63307.0,Agent d'encadrement en froid et conditionnement d'air,عون تأطير في التبريد، تكييف الهواء
63306.0,Agent de test en installation et maintenance en froid,عون تجريب في التركيب والصيانة في التبريد
63305.0,Agent de montage frigoriste,عون تركيب اختصاصي تبريد
63304.0,Agent de maintenance en génie climatique,عون صيانة في هندسة التكييف والتبريد
63303.0,Agent de maintenance en conditionnement d'air,عون صيانة في تكييف الهواء
63302.0,Agent de maintenance en climatisation,عون صيانة في التبريد
63301.0,Agent d'inspection en installation et maintenance en froid,عون تفتيش في التركيب والصيانة في التبريد
63217.0,Technicien supérieur électronicien de maintenance électronique,تقني سامي في إلكترونيات الصيانة الإلكترونية
63216.0,Technicien supérieur électronicien de maintenance de cartes électroniques,تقني سامي في إلكترونيات صيانة البطاقات إلكترونية
63215.0,Technicien d'entretien d'appareillages de mesure et de régulation,تقني في صيانة تجهيزات القياس والضبط
63214.0,Technicien de maintenance radar,تقني في صيانة أنظمة الرادار
63213.0,Technicien de maintenance en sonorisation,تقني في صيانة العتاد الصوتي
63212.0,Technicien de maintenance en matériel optoélectronique,تقني في صيانة العتاد البصري
63211.0,Technicien de maintenance en matériel médical,تقني في صيانة المعدات الطبية
63210.0,Technicien de maintenance en matériel de radiologie,تقني في صيانة معدات التصوير بالأشعة
63209.0,Technicien de maintenance en matériel biomédical,تقني في صيانة المعدات البيو طبية
63208.0,Technicien de maintenance en électronique,تقني في الصيانة الإلكترونية
63207.0,Technicien de maintenance de systèmes optroniques,تقني في صيانة الأنظمة البصرية
